Year,Geography,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
2014,"Lafayette County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Lafayette Parish, LA",182,74,364,46,9
2014,"Lafourche Parish, LA",41,14,69,Data suppressed,Data suppressed
2014,"Lagrange County, IN",Data suppressed,0,6,Data suppressed,0
2014,"Lake County, CA",20,13,51,10,5
2014,"Lake County, CO",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Lake County, FL",241,84,393,37,18
2014,"Lake County, IL",205,73,385,36,12
2014,"Lake County, IN",266,118,497,52,17
2014,"Lake County, MI",6,Data suppressed,Data suppressed,Data suppressed,0
